experiment_id,length_mm,width_mm,height_mm,density_kg_m3,youngs_modulus_gpa,yield_strength_mpa,weight_kg,deflection_mm,max_stress_mpa,safety_factor,eigenfrequency_hz,failure
SMART_083,1343.476,99.874,51.338,6216.907,169.082,196.778,42.825,0.265,7.656,25.703,67.262,False
SMART_084,906.393,72.195,52.671,3991.76,86.895,345.615,13.758,0.203,6.788,50.914,135.639,False
SMART_085,2464.797,33.68,84.796,6618.598,95.807,242.181,46.59,1.903,15.267,15.863,24.08,False
SMART_086,1829.279,95.263,94.064,6751.977,178.799,266.774,110.677,0.108,3.255,81.949,65.593,False
SMART_087,2186.861,80.103,127.89,7893.981,212.972,348.726,176.849,0.073,2.504,139.283,62.985,False
SMART_088,1788.464,30.16,69.972,6373.816,144.45,435.012,24.056,0.958,18.167,23.945,47.223,False
SMART_089,1072.279,26.676,112.503,3811.047,225.535,551.488,12.264,0.036,4.764,115.766,341.32,False
SMART_090,589.893,39.916,31.359,3268.859,21.801,119.2,2.414,1.912,22.542,5.288,105.531,False
SMART_091,1400.109,48.178,36.355,2675.363,98.63,417.267,6.561,3.005,32.983,12.651,51.06,False
SMART_092,1086.074,73.168,55.909,2658.733,113.837,55.086,11.812,0.22,7.123,7.733,140.636,False
SMART_093,1908.191,52.837,103.171,2928.768,247.25,362.152,30.465,0.121,5.089,71.159,118.051,False
SMART_094,1614.136,32.603,126.545,2740.862,124.188,61.997,18.253,0.128,4.638,13.368,148.249,False
SMART_095,873.509,31.732,116.354,1847.821,158.36,452.766,5.959,0.021,3.05,148.448,640.132,False
SMART_096,2306.615,79.262,23.586,6433.676,190.178,441.862,27.743,15.512,78.466,5.631,10.929,False
SMART_097,970.904,75.765,114.347,3412.228,46.601,461.039,28.702,0.043,1.47,313.611,203.274,False
SMART_098,1168.95,99.441,87.654,3551.344,140.587,450.568,36.185,0.042,2.295,196.326,183.014,False
SMART_099,1198.084,43.19,71.397,5920.692,208.831,480.104,21.874,0.131,8.163,58.817,133.951,False
SMART_100,1899.927,87.489,126.793,7038.734,232.022,328.794,148.347,0.041,2.026,162.27,91.447,False
SMART_101,1685.225,35.695,141.613,2610.474,102.444,320.099,22.238,0.115,3.531,90.647,141.645,False
SMART_102,1131.332,31.154,140.424,2095.997,118.536,411.201,10.374,0.035,2.762,148.859,374.128,False
SMART_103,1730.302,78.806,34.113,772.484,79.9,288.297,3.593,5.181,28.302,10.186,52.545,False
SMART_104,2008.761,37.984,31.845,594.136,104.817,202.721,1.444,15.761,78.225,2.592,47.532,False
SMART_105,1010.221,49.835,98.134,4921.819,166.533,144.044,24.316,0.033,3.157,45.621,253.632,False
SMART_106,890.753,94.871,104.476,1723.524,48.342,596.949,15.217,0.034,1.29,462.653,316.215,False
SMART_107,653.247,73.315,64.347,5942.545,111.113,113.798,18.313,0.032,3.228,35.254,295.664,False
SMART_108,989.51,93.506,128.796,5605.32,143.195,73.335,66.798,0.008,0.957,76.638,301.476,False
SMART_109,1273.227,23.988,61.339,4178.914,231.194,351.846,7.829,0.403,21.16,16.628,127.618,False
SMART_110,641.472,86.261,83.795,4426.29,75.292,307.408,20.523,0.017,1.589,193.508,380.844,False
SMART_111,547.252,71.245,27.028,3796.82,14.39,259.776,4.001,2.024,15.772,16.471,79.668,False
SMART_112,2041.926,42.401,28.907,4384.702,115.436,389.419,10.974,18.002,86.446,4.505,16.131,False
SMART_113,1950.024,22.12,97.613,5022.786,31.702,433.633,21.148,2.842,13.878,31.245,29.243,False
SMART_114,1568.656,26.254,148.006,2479.926,104.779,178.003,15.116,0.108,4.091,43.507,177.285,False
SMART_115,2073.655,24.663,52.227,4251.53,16.298,274.013,11.356,38.932,46.238,5.926,10.783,False
SMART_116,1377.155,53.641,56.897,3150.3,180.509,543.544,13.241,0.366,11.896,45.692,102.974,False
SMART_117,2472.577,42.164,106.675,4763.773,146.51,530.363,52.979,0.504,7.73,68.612,43.879,False
SMART_118,2378.446,90.05,132.916,4528.944,117.05,331.094,128.929,0.136,2.243,147.641,54.163,False
SMART_119,1625.616,70.609,67.453,662.203,217.822,454.518,5.127,0.228,7.59,59.884,209.92,False
SMART_120,2232.124,62.326,59.935,5671.179,12.816,512.123,47.287,16.167,14.955,34.244,8.2,False
SMART_121,1694.873,66.227,79.127,5039.008,86.676,561.387,44.755,0.428,6.131,91.562,51.803,False
SMART_122,1337.539,77.574,135.404,2318.147,123.625,245.11,32.568,0.025,1.411,173.757,250.629,False
SMART_123,1728.884,59.046,119.411,4486.318,177.752,395.669,54.688,0.072,3.08,128.456,114.026,False
SMART_124,1526.059,33.033,35.599,4095.797,228.565,393.747,7.35,2.608,54.681,7.201,51.78,False
SMART_125,1124.918,60.604,114.033,2808.825,227.463,484.937,21.836,0.017,2.141,226.485,367.716,False
SMART_126,2197.397,22.671,124.492,4869.505,174.78,167.622,30.2,0.347,9.381,17.869,70.042,False
SMART_127,1426.693,82.428,77.168,5095.221,187.946,407.086,46.239,0.102,4.36,93.372,104.41,False
SMART_128,1939.526,57.945,98.703,3349.653,26.574,506.414,37.157,1.232,5.154,98.263,33.512,False
SMART_129,728.894,87.752,117.343,6853.655,68.092,509.664,51.44,0.01,0.905,563.247,315.678,False
SMART_130,1259.953,29.659,125.548,2556.397,189.072,256.647,11.993,0.045,4.043,63.483,308.411,False
SMART_131,2347.457,82.032,21.655,6552.372,186.418,566.006,27.323,20.826,91.538,6.183,9.504,False
SMART_132,1911.868,61.473,39.631,1564.972,136.94,538.361,7.289,3.334,29.704,18.124,45.989,False
SMART_133,1176.824,92.369,99.931,1049.507,59.177,90.795,11.4,0.075,1.914,47.444,245.691,False
SMART_134,2162.748,27.717,138.47,5438.107,32.932,367.367,45.139,1.044,6.104,60.181,33.034,False
SMART_135,1118.74,65.143,32.549,7168.515,203.791,314.023,17.005,0.765,24.315,12.915,62.877,False
SMART_136,1039.96,30.793,88.904,2990.576,163.448,275.782,8.514,0.08,6.409,43.029,275.57,False
SMART_137,1941.196,90.586,54.046,1464.755,38.739,419.615,13.921,3.301,11.005,38.131,33.446,False
SMART_138,2457.052,72.535,85.106,1136.819,29.685,140.114,17.243,2.794,7.015,19.973,32.665,False
SMART_139,761.261,60.299,87.203,4716.742,45.525,342.387,18.881,0.061,2.49,137.487,211.98,False
SMART_140,2022.742,91.773,123.507,7325.622,41.897,301.585,167.955,0.286,2.167,139.148,32.735,False
SMART_141,1049.875,95.682,136.012,7609.701,141.887,146.553,103.971,0.008,0.89,164.721,241.612,False
SMART_142,1436.05,60.927,121.303,5226.442,37.386,217.201,55.47,0.182,2.403,90.397,71.337,False
SMART_143,1541.41,21.635,53.662,7719.882,235.92,308.834,13.815,1.161,37.112,8.322,56.616,False
SMART_144,806.209,65.793,80.618,1972.582,60.66,359.183,8.435,0.063,2.828,127.005,311.889,False
SMART_145,2218.954,48.838,34.387,5307.571,147.88,156.688,19.779,9.301,57.634,2.719,16.716,False
SMART_146,2242.564,28.791,143.514,6485.857,112.337,278.559,60.098,0.295,5.673,49.104,53.853,False
SMART_147,566.054,27.472,137.254,6590.713,35.909,568.095,14.067,0.018,1.641,346.274,453.394,False
SMART_148,740.646,23.413,47.172,7985.855,27.527,85.389,6.532,1.501,21.324,4.004,72.396,False
SMART_149,1008.371,55.726,104.929,7664.191,202.908,200.978,45.19,0.02,2.465,81.525,240.769,False
SMART_150,1462.465,47.648,65.319,7317.422,116.577,191.564,33.306,0.505,10.791,17.753,55.275,False
SMART_151,1245.316,41.496,75.871,4981.944,185.249,292.956,19.533,0.144,7.82,37.462,135.276,False
SMART_152,1055.045,45.156,82.886,6413.946,53.482,91.589,25.327,0.213,5.101,17.954,97.501,False
SMART_153,1020.984,96.806,149.361,7551.763,110.714,440.121,111.483,0.007,0.709,620.644,248.775,False
SMART_154,1396.955,45.379,50.487,5868.283,153.26,353.758,18.781,0.761,18.116,19.527,59.952,False
SMART_155,1488.347,48.699,30.946,1893.053,20.099,58.978,4.246,28.416,47.871,1.232,20.641,False
SMART_156,1997.04,57.451,128.287,5196.499,11.473,189.681,76.486,1.431,3.168,59.87,21.673,False
SMART_157,2200.585,71.152,137.718,6946.235,109.283,407.922,149.783,0.131,2.446,166.768,51.15,False
SMART_158,1518.205,37.035,57.408,3190.803,198.748,168.659,10.299,0.628,18.658,9.039,89.133,False
SMART_159,621.254,38.664,143.155,2403.185,85.306,165.057,8.264,0.006,1.176,140.344,1002.06,False
SMART_160,1500.6,85.245,68.245,2130.588,99.411,466.543,18.599,0.314,5.67,82.289,93.872,False
SMART_161,714.634,68.226,20.564,2782.788,247.657,340.174,2.79,0.621,37.153,9.156,172.251,False
SMART_162,1840.468,63.535,55.39,7542.211,246.096,220.417,48.85,0.587,14.163,15.563,42.355,False
SMART_163,1188.81,97.233,36.041,5277.195,243.442,574.149,21.985,0.379,14.119,40.666,78.541,False
SMART_164,604.681,88.325,47.957,4556.813,133.91,183.461,11.672,0.042,4.465,41.089,322.41,False
SMART_165,1108.471,93.632,86.728,985.621,155.989,333.815,8.872,0.036,2.361,141.395,402.654,False
SMART_166,2493.773,34.9,103.334,6267.052,90.491,521.796,56.362,1.113,10.038,51.983,28.631,False
SMART_167,1323.61,47.599,114.904,864.466,55.526,507.99,6.258,0.145,3.159,160.796,238.351,False
SMART_168,1228.71,70.339,133.989,710.265,49.694,524.872,8.225,0.055,1.46,359.624,336.621,False
SMART_169,1922.738,62.616,110.571,6965.011,79.033,223.387,92.718,0.266,3.767,59.294,45.685,False
SMART_170,2066.573,40.729,46.209,6055.775,242.752,312.764,23.553,2.262,35.643,8.775,31.064,False
SMART_171,1551.075,29.3,72.005,1417.572,197.608,370.918,4.639,0.432,15.315,24.219,160.235,False
SMART_172,2400.525,67.053,41.62,1309.882,201.326,496.271,8.775,3.553,31.001,16.008,40.602,False
SMART_173,1354.911,40.837,47.677,3625.735,148.789,125.878,9.565,0.944,21.894,5.749,75.441,False
SMART_174,995.599,94.75,23.19,7262.469,173.613,116.927,15.887,1.203,29.308,3.99,51.87,False
SMART_175,1289.802,56.269,120.621,2345.819,199.767,76.822,20.536,0.027,2.363,32.508,303.405,False
SMART_176,953.322,25.548,130.971,5819.8,76.86,556.894,18.565,0.049,3.263,170.669,237.477,False
SMART_177,1970.897,92.719,109.998,3061.198,211.656,383.822,61.533,0.073,2.635,145.65,106.771,False
SMART_178,1367.449,62.95,94.542,4025.895,149.92,589.865,32.764,0.08,3.646,161.805,139.904,False
SMART_179,599.768,85.84,119.531,4452.116,154.667,336.176,27.398,0.002,0.734,458.294,888.097,False
SMART_180,551.46,29.071,44.346,2056.632,160.441,153.581,1.462,0.103,14.469,10.615,584.031,False
SMART_181,2147.558,68.435,75.949,3430.875,68.826,185.451,38.296,1.2,8.16,22.726,33.446,False
SMART_182,2122.353,77.695,124.988,1757.883,108.112,158.227,36.23,0.146,2.623,60.325,98.674,False
SMART_183,1817.107,75.497,66.419,1272.126,82.937,284.256,11.591,0.818,8.184,34.734,73.65,False
SMART_184,1591.394,40.333,42.745,899.895,221.443,251.192,2.469,1.444,32.392,7.755,120.059,False
SMART_185,828.617,76.09,149.275,7422.873,30.402,129.22,69.862,0.018,0.733,176.274,199.513,False
SMART_186,1498.46,83.431,58.597,5715.016,61.623,291.808,41.866,0.813,7.846,37.191,38.858,False
SMART_187,2488.62,43.684,38.674,4291.818,119.604,448.442,18.044,12.749,57.133,7.849,14.948,False
SMART_188,911.675,89.129,70.425,7229.293,59.799,171.863,41.37,0.102,3.094,55.555,110.503,False
SMART_189,1633.473,88.403,131.15,1155.633,135.886,463.248,21.886,0.04,1.611,287.487,241.686,False
SMART_190,1700.233,69.873,60.65,4646.571,151.538,268.151,33.48,0.52,9.923,27.024,54.33,False
SMART_191,736.467,58.085,133.209,6169.204,34.7,489.116,35.154,0.021,1.072,456.351,264.124,False
SMART_192,1602.512,36.079,111.981,3879.011,162.227,578.333,25.115,0.125,5.313,108.851,127.871,False
SMART_193,2109.039,67.539,62.553,4847.468,193.537,52.749,43.192,0.733,11.971,4.406,40.293,False
SMART_194,925.637,89.29,67.427,5575.54,209.412,107.288,31.072,0.035,3.42,31.369,218.696,False
SMART_195,2328.531,38.856,105.265,5129.79,121.817,255.995,48.856,0.572,8.112,31.556,42.9,False
SMART_196,2356.055,54.105,93.283,734.288,71.795,100.187,8.732,1.037,7.507,13.347,75.348,False
SMART_197,505.353,28.253,28.308,3867.186,22.298,110.173,1.563,2.258,33.483,3.29,120.692,False
SMART_198,1539.14,41.929,63.436,5831.633,74.322,481.776,23.874,1.146,13.683,35.21,43.348,False
SMART_199,2058.628,86.939,45.058,5510.266,215.35,303.067,44.436,1.273,17.495,17.323,30.139,False
SMART_200,2221.271,53.523,49.106,1075.397,165.653,562.23,6.278,2.61,25.815,21.779,56.012,False
