experiment_id,length_mm,width_mm,height_mm,density_kg_m3,youngs_modulus_gpa,yield_strength_mpa,weight_kg,deflection_mm,max_stress_mpa,safety_factor,eigenfrequency_hz,failure
DOMAIN_019,2607.885,56.281,207.906,7850.0,210.0,350.0,239.544,0.042,1.608,217.662,71.696,False
DOMAIN_020,1991.865,83.504,118.094,4500.0,110.0,880.0,88.391,0.131,2.566,342.998,66.731,False
DOMAIN_021,1973.255,92.162,166.563,4500.0,110.0,880.0,136.31,0.041,1.158,760.186,95.903,False
DOMAIN_022,2582.609,55.439,265.399,7850.0,210.0,350.0,298.296,0.02,0.992,352.807,93.323,False
DOMAIN_023,1921.363,148.442,210.917,2700.0,69.0,250.0,162.421,0.018,0.436,572.821,130.968,False
DOMAIN_024,2444.596,141.181,186.483,2700.0,69.0,250.0,173.775,0.058,0.747,334.731,71.531,False
DOMAIN_025,1437.979,149.418,270.428,7850.0,210.0,350.0,456.117,0.001,0.197,1773.084,306.726,False
DOMAIN_026,1032.543,119.714,145.522,7850.0,210.0,350.0,141.206,0.004,0.611,572.889,320.122,False
DOMAIN_027,1448.529,113.573,276.092,2700.0,69.0,250.0,122.636,0.005,0.251,996.103,301.628,False
DOMAIN_028,1684.159,51.234,120.346,4500.0,110.0,880.0,46.729,0.122,3.404,258.484,95.123,False
DOMAIN_029,2263.417,101.847,122.172,4500.0,110.0,880.0,126.735,0.142,2.233,394.022,53.464,False
DOMAIN_030,2858.498,138.97,124.334,2700.0,69.0,250.0,133.356,0.317,1.996,125.26,34.881,False
DOMAIN_031,1400.526,90.971,147.094,2700.0,69.0,250.0,50.6,0.034,1.067,234.235,171.904,False
DOMAIN_032,1957.969,134.57,136.717,4500.0,110.0,880.0,162.103,0.05,1.168,753.669,79.952,False
DOMAIN_033,2289.706,145.213,159.328,7850.0,210.0,350.0,415.861,0.024,0.932,375.654,71.275,False
DOMAIN_034,2250.283,140.521,242.727,7850.0,210.0,350.0,602.512,0.007,0.408,858.453,112.421,False
DOMAIN_035,1906.209,82.679,123.989,4500.0,110.0,880.0,87.935,0.1,2.25,391.183,76.5,False
DOMAIN_036,1614.436,103.946,226.86,7850.0,210.0,350.0,298.854,0.004,0.453,773.184,204.137,False
DOMAIN_037,1197.61,65.477,188.139,7850.0,210.0,350.0,115.812,0.005,0.775,451.553,307.647,False
DOMAIN_038,1186.154,114.456,245.313,7850.0,210.0,350.0,261.44,0.001,0.258,1354.931,408.924,False
DOMAIN_039,1737.876,107.157,103.131,4500.0,110.0,880.0,86.425,0.101,2.287,384.739,76.554,False
DOMAIN_040,2020.451,64.529,273.436,2700.0,69.0,250.0,96.254,0.023,0.628,397.984,153.543,False
DOMAIN_041,1824.868,64.734,126.277,7850.0,210.0,350.0,117.1,0.056,2.652,131.985,88.934,False
DOMAIN_042,1238.426,139.494,231.882,7850.0,210.0,350.0,314.457,0.001,0.248,1413.175,354.594,False
DOMAIN_043,2596.805,81.721,221.143,7850.0,210.0,350.0,368.395,0.024,0.975,359.1,76.913,False
DOMAIN_044,2180.563,108.404,129.594,7850.0,210.0,350.0,240.474,0.052,1.797,194.815,63.922,False
DOMAIN_045,2884.112,80.812,217.847,4500.0,110.0,880.0,228.482,0.065,1.128,780.113,58.715,False
DOMAIN_046,2552.655,123.187,140.611,2700.0,69.0,250.0,119.382,0.176,1.572,159.023,49.466,False
DOMAIN_047,2638.889,124.829,148.981,7850.0,210.0,350.0,385.245,0.053,1.429,244.98,50.176,False
DOMAIN_048,2226.822,68.4,135.412,7850.0,210.0,350.0,161.907,0.077,2.663,131.419,64.046,False
DOMAIN_049,1456.132,98.76,228.709,2700.0,69.0,250.0,88.804,0.009,0.423,591.284,247.26,False
DOMAIN_050,2065.791,131.28,205.151,2700.0,69.0,250.0,150.218,0.028,0.561,445.766,110.198,False
DOMAIN_051,1109.635,69.847,224.771,2700.0,69.0,250.0,47.036,0.006,0.472,530.025,418.458,False
DOMAIN_052,2702.538,120.549,152.976,4500.0,110.0,880.0,224.269,0.104,1.437,612.39,46.957,False
DOMAIN_053,1253.412,71.753,167.384,4500.0,110.0,880.0,67.742,0.013,0.935,940.95,238.862,False
DOMAIN_054,2541.794,84.875,205.686,7850.0,210.0,350.0,348.334,0.026,1.062,329.631,74.667,False
DOMAIN_055,2971.4,148.862,138.081,2700.0,69.0,250.0,164.908,0.243,1.57,159.198,35.849,False
DOMAIN_056,2927.876,71.315,111.032,7850.0,210.0,350.0,181.991,0.306,4.995,70.065,30.377,False
DOMAIN_057,2980.449,146.698,105.117,4500.0,110.0,880.0,206.819,0.353,2.758,319.063,26.529,False
DOMAIN_058,1848.78,59.063,144.134,7850.0,210.0,350.0,123.548,0.043,2.26,154.86,98.901,False
DOMAIN_059,1939.864,118.869,143.163,4500.0,110.0,880.0,148.554,0.048,1.194,736.802,85.292,False
DOMAIN_060,2785.23,145.626,173.589,2700.0,69.0,250.0,190.101,0.103,0.952,262.585,51.295,False
DOMAIN_061,2683.101,60.013,182.629,2700.0,69.0,250.0,79.398,0.191,2.011,124.335,58.152,False
DOMAIN_062,1597.956,102.946,230.092,2700.0,69.0,250.0,102.197,0.012,0.44,568.457,206.559,False
DOMAIN_063,2436.278,77.739,283.326,2700.0,69.0,250.0,144.883,0.03,0.586,426.909,109.422,False
DOMAIN_064,1700.146,98.116,279.279,4500.0,110.0,880.0,209.642,0.005,0.333,2640.727,216.614,False
DOMAIN_065,1522.587,55.209,236.148,2700.0,69.0,250.0,53.597,0.018,0.742,337.011,233.502,False
DOMAIN_066,1547.288,100.527,201.023,2700.0,69.0,250.0,84.423,0.016,0.571,437.573,192.475,False
DOMAIN_067,1398.017,124.64,175.531,2700.0,69.0,250.0,82.582,0.015,0.546,457.827,205.874,False
DOMAIN_068,2828.147,117.844,248.074,7850.0,210.0,350.0,649.027,0.015,0.585,598.339,72.741,False
DOMAIN_069,1425.623,134.863,233.243,2700.0,69.0,250.0,121.079,0.006,0.291,857.737,263.07,False
DOMAIN_070,1569.677,129.914,214.975,4500.0,110.0,880.0,197.273,0.007,0.392,2243.96,195.608,False
DOMAIN_071,1574.666,136.338,242.656,7850.0,210.0,350.0,408.947,0.002,0.294,1189.566,229.519,False
DOMAIN_072,1838.675,137.879,191.639,2700.0,69.0,250.0,131.175,0.023,0.545,458.998,129.941,False
DOMAIN_073,1308.281,74.884,190.075,4500.0,110.0,880.0,83.797,0.01,0.725,1213.195,248.967,False
DOMAIN_074,2085.178,75.546,151.05,2700.0,69.0,250.0,64.244,0.126,1.815,137.77,79.635,False
DOMAIN_075,2849.424,111.409,254.175,7850.0,210.0,350.0,633.401,0.015,0.594,589.391,73.421,False
DOMAIN_076,1289.65,108.964,112.616,7850.0,210.0,350.0,124.23,0.016,1.4,250.027,158.803,False
DOMAIN_077,2101.956,96.972,163.491,7850.0,210.0,350.0,261.597,0.026,1.216,287.73,86.786,False
DOMAIN_078,2357.955,89.52,202.388,2700.0,69.0,250.0,115.346,0.064,0.965,259.181,83.442,False
DOMAIN_079,1074.867,95.784,286.799,2700.0,69.0,250.0,79.724,0.002,0.205,1221.637,569.036,False
DOMAIN_080,2133.632,135.381,251.114,2700.0,69.0,250.0,195.844,0.016,0.375,666.85,126.446,False
DOMAIN_081,2273.009,111.278,273.212,7850.0,210.0,350.0,542.474,0.006,0.41,852.677,124.023,False
DOMAIN_082,2787.227,122.327,294.665,4500.0,110.0,880.0,452.1,0.016,0.394,2235.618,85.036,False
DOMAIN_083,1122.26,128.442,263.094,2700.0,69.0,250.0,102.394,0.002,0.189,1320.335,478.846,False
DOMAIN_084,2224.49,112.192,213.987,7850.0,210.0,350.0,419.228,0.012,0.65,538.869,101.421,False
DOMAIN_085,1713.017,88.706,216.282,2700.0,69.0,250.0,88.736,0.02,0.619,403.721,168.954,False
DOMAIN_086,2329.445,78.68,113.575,4500.0,110.0,880.0,93.673,0.249,3.443,255.605,46.924,False
DOMAIN_087,1145.505,144.539,286.218,7850.0,210.0,350.0,372.005,0.001,0.145,2411.899,511.572,False
DOMAIN_088,1065.975,101.037,234.317,4500.0,110.0,880.0,113.564,0.002,0.288,3053.019,462.304,False
DOMAIN_089,1016.22,107.785,250.613,7850.0,210.0,350.0,215.487,0.001,0.225,1554.376,569.157,False
DOMAIN_090,2806.796,61.171,154.762,2700.0,69.0,250.0,71.743,0.353,2.874,86.998,45.031,False
DOMAIN_091,2127.711,116.435,142.572,4500.0,110.0,880.0,158.944,0.065,1.349,652.576,70.604,False
DOMAIN_092,2030.456,129.283,264.831,4500.0,110.0,880.0,312.836,0.008,0.336,2619.859,144.013,False
DOMAIN_093,1150.134,88.171,184.943,2700.0,69.0,250.0,50.638,0.01,0.572,437.024,320.489,False
DOMAIN_094,2051.235,85.514,282.313,7850.0,210.0,350.0,388.733,0.005,0.451,775.28,157.363,False
DOMAIN_095,2761.337,70.662,118.858,7850.0,210.0,350.0,182.056,0.211,4.149,84.353,36.559,False
DOMAIN_096,1978.065,104.395,183.168,2700.0,69.0,250.0,102.126,0.044,0.847,295.113,107.31,False
DOMAIN_097,1358.73,87.288,199.546,4500.0,110.0,880.0,106.499,0.008,0.586,1500.72,242.324,False
DOMAIN_098,1494.43,97.475,169.122,7850.0,210.0,350.0,193.392,0.008,0.804,435.307,177.604,False
DOMAIN_099,1754.461,105.364,131.561,2700.0,69.0,250.0,65.664,0.082,1.443,173.241,97.974,False
DOMAIN_100,2152.947,61.479,196.176,2700.0,69.0,250.0,70.108,0.078,1.365,183.161,97.018,False
DOMAIN_101,1861.822,117.181,226.136,2700.0,69.0,250.0,133.207,0.017,0.466,536.421,149.543,False
DOMAIN_102,1909.774,123.36,126.835,4500.0,110.0,880.0,134.465,0.063,1.443,609.63,77.964,False
DOMAIN_103,2387.991,72.203,277.406,4500.0,110.0,880.0,215.236,0.02,0.645,1365.034,109.061,False
DOMAIN_104,2305.452,58.18,296.069,4500.0,110.0,880.0,178.705,0.018,0.678,1297.766,124.882,False
DOMAIN_105,1725.039,113.13,176.794,2700.0,69.0,250.0,93.156,0.03,0.732,341.637,136.189,False
DOMAIN_106,1048.875,142.916,280.769,4500.0,110.0,880.0,189.394,0.001,0.14,6301.54,572.164,False
DOMAIN_107,2568.418,53.267,180.775,7850.0,210.0,350.0,194.147,0.064,2.213,158.141,64.27,False
DOMAIN_108,2374.862,50.446,260.941,7850.0,210.0,350.0,245.4,0.018,1.037,337.48,108.51,False
DOMAIN_109,1270.787,53.718,160.637,2700.0,69.0,250.0,29.608,0.033,1.375,181.799,228.02,False
DOMAIN_110,1639.643,96.578,219.033,4500.0,110.0,880.0,156.081,0.01,0.531,1657.829,182.655,False
DOMAIN_111,2748.44,73.529,161.358,4500.0,110.0,880.0,146.738,0.153,2.153,408.639,47.889,False
DOMAIN_112,2990.75,66.24,133.529,4500.0,110.0,880.0,119.039,0.386,3.798,231.677,33.468,False
DOMAIN_113,1303.013,72.764,209.882,2700.0,69.0,250.0,53.729,0.012,0.61,409.986,283.368,False
DOMAIN_114,2424.039,59.48,139.544,4500.0,110.0,880.0,90.539,0.2,3.139,280.314,53.242,False
DOMAIN_115,1165.298,131.342,268.315,4500.0,110.0,880.0,184.799,0.001,0.185,4760.454,442.986,False
DOMAIN_116,2468.829,84.224,109.04,2700.0,69.0,250.0,61.218,0.499,3.698,67.603,41.009,False
DOMAIN_117,2877.862,99.751,292.34,4500.0,110.0,880.0,377.65,0.022,0.506,1737.87,79.135,False
DOMAIN_118,2111.181,93.4,177.731,7850.0,210.0,350.0,275.111,0.021,1.073,326.083,93.523,False
DOMAIN_119,2714.5,118.456,238.029,2700.0,69.0,250.0,206.652,0.045,0.607,412.073,74.049,False
DOMAIN_120,2822.095,115.506,262.042,7850.0,210.0,350.0,670.527,0.013,0.534,655.77,77.167,False
DOMAIN_121,1876.857,125.651,235.158,2700.0,69.0,250.0,149.734,0.015,0.405,617.023,153.027,False
DOMAIN_122,1805.82,63.802,221.35,7850.0,210.0,350.0,200.198,0.01,0.867,403.922,159.197,False
DOMAIN_123,1338.274,76.71,258.079,7850.0,210.0,350.0,207.98,0.002,0.393,890.822,337.961,False
DOMAIN_124,2505.466,138.008,169.707,4500.0,110.0,880.0,264.061,0.053,0.946,930.693,60.61,False
DOMAIN_125,1101.914,127.198,240.023,4500.0,110.0,880.0,151.389,0.002,0.226,3901.491,443.177,False
DOMAIN_126,2201.599,126.629,266.932,2700.0,69.0,250.0,200.925,0.016,0.366,683.035,126.24,False
DOMAIN_127,2076.735,52.015,223.504,7850.0,210.0,350.0,189.526,0.018,1.199,291.944,121.542,False
DOMAIN_128,2314.407,92.685,107.849,4500.0,110.0,880.0,104.106,0.242,3.22,273.27,45.139,False
DOMAIN_129,1891.519,62.876,133.128,4500.0,110.0,880.0,71.249,0.104,2.546,345.626,83.419,False
DOMAIN_130,2161.151,146.01,114.829,7850.0,210.0,350.0,284.439,0.054,1.684,207.863,57.661,False
DOMAIN_131,1087.123,54.457,252.677,4500.0,110.0,880.0,67.315,0.003,0.469,1876.297,479.323,False
DOMAIN_132,2400.533,67.055,156.885,7850.0,210.0,350.0,198.239,0.064,2.182,160.422,63.852,False
DOMAIN_133,2728.7,94.386,157.829,7850.0,210.0,350.0,319.095,0.065,1.741,201.05,49.714,False
DOMAIN_134,1647.658,102.518,164.504,2700.0,69.0,250.0,75.026,0.036,0.891,280.632,138.904,False
DOMAIN_135,2191.748,130.238,239.148,2700.0,69.0,250.0,184.315,0.021,0.441,566.41,114.119,False
DOMAIN_136,2368.049,80.49,101.614,7850.0,210.0,350.0,152.04,0.187,4.274,81.891,42.499,False
DOMAIN_137,1790.781,104.686,186.818,2700.0,69.0,250.0,94.561,0.03,0.735,340.04,133.538,False
DOMAIN_138,1376.561,121.571,271.284,7850.0,210.0,350.0,356.384,0.001,0.231,1516.555,335.766,False
DOMAIN_139,2006.751,57.855,116.255,4500.0,110.0,880.0,60.738,0.202,3.85,228.595,64.721,False
DOMAIN_140,2624.279,76.606,129.189,4500.0,110.0,880.0,116.872,0.249,3.079,285.821,42.056,False
DOMAIN_141,2947.446,57.14,275.854,4500.0,110.0,880.0,209.064,0.049,1.017,865.46,71.188,False
DOMAIN_142,2913.032,132.263,291.331,2700.0,69.0,250.0,303.063,0.027,0.389,642.266,78.699,False
DOMAIN_143,1365.535,86.132,295.123,4500.0,110.0,880.0,156.2,0.003,0.273,3222.987,354.827,False
DOMAIN_144,2643.512,62.281,179.52,4500.0,110.0,880.0,133.004,0.117,1.976,445.445,57.593,False
DOMAIN_145,2346.369,79.975,247.38,7850.0,210.0,350.0,364.407,0.013,0.719,486.705,105.384,False
DOMAIN_146,1537.237,127.743,288.694,2700.0,69.0,250.0,153.067,0.004,0.217,1154.308,280.045,False
DOMAIN_147,2522.831,78.26,172.201,7850.0,210.0,350.0,266.89,0.048,1.631,214.635,63.455,False
DOMAIN_148,1325.027,109.353,259.896,7850.0,210.0,350.0,295.615,0.001,0.269,1300.719,347.18,False
DOMAIN_149,2465.385,137.186,171.548,2700.0,69.0,250.0,156.654,0.078,0.916,272.924,64.697,False
DOMAIN_150,1603.787,110.434,110.442,7850.0,210.0,350.0,153.551,0.033,1.786,195.974,100.703,False
